submission_day,feed_type,submission_count,normalized_submission_count
2022-10-14,PRODUCT_LIST_PRICE,11,11
2022-10-14,PRODUCT_LIST_REMOVE,9,9
2022-10-15,PRODUCT_FLAT_FILE_INVLOADER,11,11
2022-10-15,PRODUCT_LIST,11,11
2022-10-15,PRODUCT_LIST_IMAGE,11,11
2022-10-15,PRODUCT_LIST_INVENTORY,11,11
2022-10-15,PRODUCT_LIST_PRICE,11,11
2022-10-16,PRODUCT_FLAT_FILE_INVLOADER,18,18
2022-10-16,PRODUCT_LIST,19,19
2022-10-16,PRODUCT_LIST_IMAGE,18,18
2022-10-16,PRODUCT_LIST_INVENTORY,18,18
2022-10-16,PRODUCT_LIST_PRICE,18,18
2022-10-17,PRODUCT_FLAT_FILE_INVLOADER,17,17
2022-10-17,PRODUCT_LIST,17,17
2022-10-17,PRODUCT_LIST_IMAGE,17,17
2022-10-17,PRODUCT_LIST_INVENTORY,17,17
2022-10-17,PRODUCT_LIST_PRICE,17,17
2022-10-17,PRODUCT_LIST_REMOVE,1,1
2022-10-18,PRODUCT_FLAT_FILE_INVLOADER,16,16
2022-10-18,PRODUCT_LIST,16,16
2022-10-18,PRODUCT_LIST_IMAGE,16,16
2022-10-18,PRODUCT_LIST_INVENTORY,16,16
2022-10-18,PRODUCT_LIST_PRICE,16,16
2022-10-18,PRODUCT_LIST_REMOVE,3,3
2022-10-19,PRODUCT_FLAT_FILE_INVLOADER,20,20
2022-10-19,PRODUCT_LIST,21,21
2022-10-19,PRODUCT_LIST_IMAGE,20,20
2022-10-19,PRODUCT_LIST_INVENTORY,20,20
2022-10-19,PRODUCT_LIST_PRICE,20,20
2022-10-19,PRODUCT_LIST_REMOVE,7,7
2022-10-20,PRODUCT_FLAT_FILE_INVLOADER,19,19
2022-10-20,PRODUCT_LIST,19,19
2022-10-20,PRODUCT_LIST_IMAGE,19,19
2022-10-20,PRODUCT_LIST_INVENTORY,19,19
2022-10-20,PRODUCT_LIST_PRICE,19,19
2022-10-20,PRODUCT_LIST_REMOVE,31,31
2022-10-21,PRODUCT_FLAT_FILE_INVLOADER,20,20
2022-10-21,PRODUCT_LIST,20,20
2022-10-21,PRODUCT_LIST_IMAGE,20,20
2022-10-21,PRODUCT_LIST_INVENTORY,20,20
2022-10-21,PRODUCT_LIST_PRICE,20,20
2022-10-21,PRODUCT_LIST_REMOVE,1,1
2022-10-22,PRODUCT_FLAT_FILE_INVLOADER,49,49
2022-10-22,PRODUCT_LIST,49,49
2022-10-22,PRODUCT_LIST_IMAGE,49,49
2022-10-22,PRODUCT_LIST_INVENTORY,49,49
2022-10-22,PRODUCT_LIST_PRICE,49,49
2022-10-23,PRODUCT_FLAT_FILE_INVLOADER,27,27
2022-10-23,PRODUCT_LIST,27,27
2022-10-23,PRODUCT_LIST_IMAGE,27,27
2022-10-23,PRODUCT_LIST_INVENTORY,27,27
2022-10-23,PRODUCT_LIST_PRICE,27,27
2022-10-24,PRODUCT_FLAT_FILE_INVLOADER,15,15
2022-10-24,PRODUCT_LIST,15,15
2022-10-24,PRODUCT_LIST_IMAGE,15,15
2022-10-24,PRODUCT_LIST_INVENTORY,15,15
2022-10-24,PRODUCT_LIST_PRICE,15,15
2022-10-24,PRODUCT_LIST_REMOVE,4,4
2022-10-25,PRODUCT_FLAT_FILE_INVLOADER,25,25
2022-10-25,PRODUCT_LIST,28,28
2022-10-25,PRODUCT_LIST_IMAGE,25,25
2022-10-25,PRODUCT_LIST_INVENTORY,25,25
2022-10-25,PRODUCT_LIST_PRICE,25,25
2022-10-25,PRODUCT_LIST_REMOVE,1,1
2022-10-26,PRODUCT_FLAT_FILE_INVLOADER,49,49
2022-10-26,PRODUCT_LIST,49,49
2022-10-26,PRODUCT_LIST_IMAGE,49,49
2022-10-26,PRODUCT_LIST_INVENTORY,49,49
2022-10-26,PRODUCT_LIST_PRICE,49,49
2022-10-27,PRODUCT_FLAT_FILE_INVLOADER,23,23
2022-10-27,PRODUCT_LIST,20,20
2022-10-27,PRODUCT_LIST_IMAGE,23,23
2022-10-27,PRODUCT_LIST_INVENTORY,23,23
2022-10-27,PRODUCT_LIST_PRICE,23,23
2022-10-27,PRODUCT_LIST_REMOVE,2,2
2022-10-28,PRODUCT_FLAT_FILE_INVLOADER,13,13
2022-10-28,PRODUCT_LIST,13,13
2022-10-28,PRODUCT_LIST_IMAGE,13,13
2022-10-28,PRODUCT_LIST_INVENTORY,13,13
2022-10-28,PRODUCT_LIST_PRICE,13,13
2022-10-28,PRODUCT_LIST_REMOVE,5,5
2022-10-29,PRODUCT_FLAT_FILE_INVLOADER,7,7
2022-10-29,PRODUCT_LIST,7,7
2022-10-29,PRODUCT_LIST_IMAGE,7,7
2022-10-29,PRODUCT_LIST_INVENTORY,7,7
2022-10-29,PRODUCT_LIST_PRICE,7,7
2022-10-30,PRODUCT_FLAT_FILE_INVLOADER,5,5
2022-10-30,PRODUCT_LIST,5,5
2022-10-30,PRODUCT_LIST_IMAGE,5,5
2022-10-30,PRODUCT_LIST_INVENTORY,5,5
2022-10-30,PRODUCT_LIST_PRICE,5,5
2022-10-31,PRODUCT_FLAT_FILE_INVLOADER,22,22
2022-10-31,PRODUCT_LIST,22,22
2022-10-31,PRODUCT_LIST_IMAGE,22,22
2022-10-31,PRODUCT_LIST_INVENTORY,22,22
2022-10-31,PRODUCT_LIST_PRICE,22,22
2022-10-31,PRODUCT_LIST_REMOVE,1,1
2022-11-01,PRODUCT_FLAT_FILE_INVLOADER,9,9
2022-11-01,PRODUCT_LIST,9,9
2022-11-01,PRODUCT_LIST_IMAGE,9,9
2022-11-01,PRODUCT_LIST_INVENTORY,9,9
2022-11-01,PRODUCT_LIST_PRICE,9,9
2022-11-01,PRODUCT_LIST_REMOVE,4,4
2022-11-02,PRODUCT_FLAT_FILE_INVLOADER,5,5
2022-11-02,PRODUCT_LIST,5,5
2022-11-02,PRODUCT_LIST_IMAGE,5,5
2022-11-02,PRODUCT_LIST_INVENTORY,5,5
2022-11-02,PRODUCT_LIST_PRICE,5,5
2022-11-03,PRODUCT_FLAT_FILE_INVLOADER,14,14
2022-11-03,PRODUCT_LIST,14,14
2022-11-03,PRODUCT_LIST_IMAGE,14,14
2022-11-03,PRODUCT_LIST_INVENTORY,14,14
2022-11-03,PRODUCT_LIST_PRICE,14,14
2022-11-03,PRODUCT_LIST_REMOVE,8,8
2022-11-04,PRODUCT_FLAT_FILE_INVLOADER,24,24
2022-11-04,PRODUCT_LIST,24,24
2022-11-04,PRODUCT_LIST_IMAGE,24,24
2022-11-04,PRODUCT_LIST_INVENTORY,24,24
2022-11-04,PRODUCT_LIST_PRICE,24,24
2022-11-05,PRODUCT_FLAT_FILE_INVLOADER,21,21
2022-11-05,PRODUCT_LIST,21,21
2022-11-05,PRODUCT_LIST_IMAGE,21,21
2022-11-05,PRODUCT_LIST_INVENTORY,21,21
2022-11-05,PRODUCT_LIST_PRICE,21,21
2022-11-06,PRODUCT_FLAT_FILE_INVLOADER,13,13
2022-11-06,PRODUCT_LIST,13,13
2022-11-06,PRODUCT_LIST_IMAGE,13,13
2022-11-06,PRODUCT_LIST_INVENTORY,13,13
2022-11-06,PRODUCT_LIST_PRICE,13,13
2022-11-07,PRODUCT_FLAT_FILE_INVLOADER,34,34
2022-11-07,PRODUCT_LIST,34,34
2022-11-07,PRODUCT_LIST_IMAGE,34,34
2022-11-07,PRODUCT_LIST_INVENTORY,34,34
2022-11-07,PRODUCT_LIST_PRICE,34,34
2022-11-07,PRODUCT_LIST_REMOVE,1,1
2022-11-08,PRODUCT_FLAT_FILE_INVLOADER,16,16
2022-11-08,PRODUCT_LIST,16,16
2022-11-08,PRODUCT_LIST_IMAGE,16,16
2022-11-08,PRODUCT_LIST_INVENTORY,16,16
2022-11-08,PRODUCT_LIST_PRICE,16,16
2022-11-09,PRODUCT_FLAT_FILE_INVLOADER,104,15
2022-11-09,PRODUCT_LIST,239,15
2022-11-09,PRODUCT_LIST_IMAGE,104,15
2022-11-09,PRODUCT_LIST_INVENTORY,104,15
2022-11-09,PRODUCT_LIST_PRICE,104,15
2022-11-09,PRODUCT_LIST_REMOVE,5,5
2022-11-10,PRODUCT_FLAT_FILE_INVLOADER,1226,15
2022-11-10,PRODUCT_LIST,1174,15
2022-11-10,PRODUCT_LIST_IMAGE,1226,15
2022-11-10,PRODUCT_LIST_INVENTORY,1226,15
2022-11-10,PRODUCT_LIST_PRICE,1226,15
2022-11-10,PRODUCT_LIST_REMOVE,1,1
2022-11-11,PRODUCT_FLAT_FILE_INVLOADER,1103,15
2022-11-11,PRODUCT_LIST,1076,15
2022-11-11,PRODUCT_LIST_IMAGE,1103,15
2022-11-11,PRODUCT_LIST_INVENTORY,1103,15
2022-11-11,PRODUCT_LIST_PRICE,1103,15
2022-11-11,PRODUCT_LIST_REMOVE,1,1
2022-11-12,PRODUCT_FLAT_FILE_INVLOADER,1152,15
2022-11-12,PRODUCT_LIST,1201,15
2022-11-12,PRODUCT_LIST_IMAGE,1152,15
2022-11-12,PRODUCT_LIST_INVENTORY,1152,15
2022-11-12,PRODUCT_LIST_PRICE,1152,15
2022-11-13,PRODUCT_FLAT_FILE_INVLOADER,1205,15
2022-11-13,PRODUCT_LIST,1202,15
2022-11-13,PRODUCT_LIST_IMAGE,1205,15
2022-11-13,PRODUCT_LIST_INVENTORY,1205,15
2022-11-13,PRODUCT_LIST_PRICE,1205,15
2022-11-14,PRODUCT_FLAT_FILE_INVLOADER,1217,15
2022-11-14,PRODUCT_LIST,1136,15
2022-11-14,PRODUCT_LIST_IMAGE,1217,15
2022-11-14,PRODUCT_LIST_INVENTORY,1217,15
2022-11-14,PRODUCT_LIST_PRICE,1217,15
2022-11-14,PRODUCT_LIST_REMOVE,4,4
2022-11-15,PRODUCT_FLAT_FILE_INVLOADER,1123,15
2022-11-15,PRODUCT_LIST,1154,15
2022-11-15,PRODUCT_LIST_IMAGE,1123,15
2022-11-15,PRODUCT_LIST_INVENTORY,1123,15
2022-11-15,PRODUCT_LIST_PRICE,1123,15
2022-11-15,PRODUCT_LIST_REMOVE,4,4
2022-11-16,PRODUCT_FLAT_FILE_INVLOADER,1104,15
2022-11-16,PRODUCT_LIST,1058,15
2022-11-16,PRODUCT_LIST_IMAGE,1104,15
2022-11-16,PRODUCT_LIST_INVENTORY,1104,15
2022-11-16,PRODUCT_LIST_PRICE,1104,15
2022-11-16,PRODUCT_LIST_REMOVE,3,3
2022-11-17,PRODUCT_FLAT_FILE_INVLOADER,410,15
2022-11-17,PRODUCT_LIST,409,15
2022-11-17,PRODUCT_LIST_IMAGE,410,15
2022-11-17,PRODUCT_LIST_INVENTORY,410,15
2022-11-17,PRODUCT_LIST_PRICE,410,15
2022-11-17,PRODUCT_LIST_REMOVE,3,3
2022-11-18,PRODUCT_FLAT_FILE_INVLOADER,11,11
2022-11-18,PRODUCT_LIST,11,11
2022-11-18,PRODUCT_LIST_IMAGE,11,11
2022-11-18,PRODUCT_LIST_INVENTORY,11,11
2022-11-18,PRODUCT_LIST_PRICE,11,11
2022-11-18,PRODUCT_LIST_REMOVE,3,3
2022-11-19,PRODUCT_FLAT_FILE_INVLOADER,24,24
2022-11-19,PRODUCT_LIST,27,27
2022-11-19,PRODUCT_LIST_IMAGE,24,24
2022-11-19,PRODUCT_LIST_INVENTORY,24,24
2022-11-19,PRODUCT_LIST_PRICE,24,24
2022-11-20,PRODUCT_FLAT_FILE_INVLOADER,19,19
2022-11-20,PRODUCT_LIST,16,16
2022-11-20,PRODUCT_LIST_IMAGE,19,19
2022-11-20,PRODUCT_LIST_INVENTORY,19,19
2022-11-20,PRODUCT_LIST_PRICE,19,19
2022-11-21,PRODUCT_FLAT_FILE_INVLOADER,14,14
2022-11-21,PRODUCT_LIST,14,14
2022-11-21,PRODUCT_LIST_IMAGE,14,14
2022-11-21,PRODUCT_LIST_INVENTORY,14,14
2022-11-21,PRODUCT_LIST_PRICE,14,14
2022-11-21,PRODUCT_LIST_REMOVE,1,1
2022-11-22,PRODUCT_FLAT_FILE_INVLOADER,11,11
2022-11-22,PRODUCT_LIST,12,12
2022-11-22,PRODUCT_LIST_IMAGE,11,11
2022-11-22,PRODUCT_LIST_INVENTORY,11,11
2022-11-22,PRODUCT_LIST_PRICE,11,11
2022-11-22,PRODUCT_LIST_REMOVE,1,1
2022-11-23,PRODUCT_FLAT_FILE_INVLOADER,15,15
2022-11-23,PRODUCT_LIST,14,14
2022-11-23,PRODUCT_LIST_IMAGE,15,15
2022-11-23,PRODUCT_LIST_INVENTORY,15,15
2022-11-23,PRODUCT_LIST_PRICE,15,15
2022-11-24,PRODUCT_FLAT_FILE_INVLOADER,11,11
2022-11-24,PRODUCT_LIST,11,11
2022-11-24,PRODUCT_LIST_IMAGE,11,11
2022-11-24,PRODUCT_LIST_INVENTORY,11,11
2022-11-24,PRODUCT_LIST_PRICE,11,11
2022-11-24,PRODUCT_LIST_REMOVE,3,3
2022-11-25,PRODUCT_FLAT_FILE_INVLOADER,10,10
2022-11-25,PRODUCT_LIST,10,10
2022-11-25,PRODUCT_LIST_IMAGE,10,10
2022-11-25,PRODUCT_LIST_INVENTORY,10,10
2022-11-25,PRODUCT_LIST_PRICE,10,10
2022-11-25,PRODUCT_LIST_REMOVE,1,1
2022-11-26,PRODUCT_FLAT_FILE_INVLOADER,14,14
2022-11-26,PRODUCT_LIST,14,14
2022-11-26,PRODUCT_LIST_IMAGE,14,14
2022-11-26,PRODUCT_LIST_INVENTORY,14,14
2022-11-26,PRODUCT_LIST_PRICE,14,14
2022-11-27,PRODUCT_FLAT_FILE_INVLOADER,13,13
2022-11-27,PRODUCT_LIST,13,13
